player_id,name,bucket,sg_off_tee,sg_approach,sg_arg,sg_putting,driving_distance,driving_accuracy,gir,scrambling,par5_scoring,bogey_avoidance,double_bogey_rate,cut_rate,masters_history,augusta_correlated,majors_perf,field_adjusted_finish,odds_win,odds_top5,odds_top10,recent_finishes
B03_P4,Justin Thomas,3,-0.357,0.419,0.046,0.035,291.1,0.567,0.611,0.619,4.625,0.862,0.031,0.792,0.643,0.907,-0.688,0.146,0.0365,0.0833,0.112,22;6;25;43;1;20;52;28
B03_P5,Brooks Koepka,3,-0.306,0.454,-0.359,-0.464,308.6,0.66,0.677,0.574,4.556,0.84,0.042,0.704,0.449,0.738,0.139,0.195,0.0725,0.2021,0.2045,3;6;36;52;40;21;12;35
B04_P1,J.J. Spaun,4,-0.184,0.194,-0.238,-0.105,304.8,0.655,0.672,0.637,4.592,0.81,0.043,0.748,0.199,0.959,-0.725,0.84,0.0742,0.2267,0.3648,51;23;12;30;19;30;36;3
B04_P2,Ben Griffin,4,0.2,0.718,-0.131,-0.297,305.1,0.623,0.708,0.64,4.482,0.886,0.027,0.769,-0.664,0.204,0.599,0.762,0.0205,0.1258,0.1866,23;46;17;8;16;11;42;32
B04_P3,Harris English,4,0.066,0.534,0.024,-0.007,312.4,0.58,0.64,0.56,4.466,0.863,0.023,0.71,-0.198,0.122,0.81,0.206,0.0174,0.1414,0.1373,27;15;26;37;50;46;38;44
B04_P4,Akshay Bhatia,4,0.023,-0.027,-0.12,-0.07,311.2,0.6,0.727,0.649,4.59,0.804,0.022,0.675,0.465,0.647,-0.563,0.6,0.0803,0.2566,0.4086,33;19;5;21;49;41;6;24
B04_P5,Patrick Reed,4,0.23,0.033,0.321,-0.406,296.9,0.552,0.692,0.581,4.526,0.835,0.044,0.708,0.998,-0.318,0.479,0.094,0.0649,0.1904,0.0851,24;42;27;54;32;28;18;19
B05_P1,Robert MacIntyre,5,0.026,-0.214,0.307,-0.003,304.5,0.624,0.716,0.538,4.465,0.847,0.043,0.607,0.143,0.75,-0.695,0.545,0.0792,0.1093,0.3976,24;44;49;25;24;44;23;7
B05_P2,Justin Rose,5,0.588,0.161,-0.246,-0.398,294.9,0.658,0.672,0.521,4.486,0.851,0.021,0.652,0.513,0.128,-0.291,-0.688,0.0471,0.1014,0.4073,13;52;34;37;39;30;50;38
B05_P3,Sepp Straka,5,-0.26,-0.137,-0.167,-0.329,299.9,0.701,0.633,0.575,4.619,0.849,0.046,0.75,0.003,0.614,-0.773,-0.663,0.0118,0.2236,0.3825,38;39;18;25;10;40;10;1
B05_P4,Viktor Hovland,5,-0.375,0.213,-0.303,-0.166,294.7,0.679,0.684,0.578,4.564,0.829,0.048,0.715,0.24,0.282,0.354,-0.338,0.0801,0.245,0.1877,5;20;31;14;10;15;45;4
B05_P5,Tyrrell Hatton,5,0.212,0.123,0.057,-0.278,301.6,0.701,0.665,0.643,4.455,0.844,0.021,0.783,0.784,0.648,0.996,0.944,0.0262,0.2011,0.3741,46;29;15;51;28;29;32;26
B06_P1,Sergio Garcia,6,0.076,0.068,-0.282,-0.409,310.2,0.669,0.691,0.534,4.494,0.833,0.039,0.716,0.726,-0.488,0.112,0.401,0.055,0.0552,0.1829,42;6;13;32;22;19;39;28
B06_P2,Dustin Johnson,6,-0.031,0.486,-0.144,0.43,316.7,0.689,0.693,0.618,4.549,0.854,0.035,0.659,0.251,0.425,0.906,0.257,0.0293,0.1407,0.2394,15;18;49;40;26;11;12;53
B06_P3,Bubba Watson,6,0.49,0.46,0.135,-0.448,315.6,0.542,0.666,0.536,4.502,0.834,0.033,0.777,-0.152,0.105,0.827,-0.278,0.0563,0.1838,0.3074,5;27;50;46;26;42;48;49
B06_P4,Charl Schwartzel,6,0.162,0.168,0.003,-0.101,302.9,0.705,0.643,0.582,4.624,0.872,0.03,0.648,-0.102,-0.757,-0.728,0.94,0.0383,0.1216,0.3488,23;50;24;47;44;29;48;24
B06_P5,Danny Willett,6,0.325,0.133,-0.2,0.349,303.1,0.706,0.674,0.567,4.476,0.81,0.035,0.728,0.12,-0.213,-0.55,-0.28,0.0605,0.2387,0.3503,3;30;10;3;11;43;51;9
B07_P1,Min Woo Lee,7,-0.002,-0.142,-0.33,0.16,303.9,0.702,0.644,0.532,4.607,0.813,0.036,0.595,0.897,0.068,0.243,-0.62,0.0096,0.1213,0.3012,35;6;4;7;29;45;37;6
B07_P2,Si Woo Kim,7,0.495,0.229,0.323,0.168,298.3,0.629,0.662,0.569,4.579,0.883,0.037,0.682,0.692,0.306,0.645,-0.574,0.0312,0.1013,0.2648,7;7;3;49;51;2;10;50
B07_P3,Jason Day,7,0.208,0.609,0.008,0.23,288.9,0.671,0.7,0.563,4.471,0.809,0.042,0.733,-0.551,0.287,0.208,-0.075,0.0565,0.189,0.1576,30;14;36;4;39;48;40;24
B07_P4,Corey Conners,7,-0.069,0.578,0.365,0.164,315.1,0.686,0.725,0.618,4.639,0.802,0.031,0.528,-0.39,-0.148,0.719,0.519,0.0056,0.0479,0.2571,21;40;21;4;54;21;36;45
B07_P5,Adam Scott,7,0.377,0.596,-0.022,0.048,303.5,0.699,0.673,0.535,4.549,0.83,0.031,0.606,0.741,0.931,0.376,-0.031,0.0396,0.0957,0.324,45;30;24;1;11;17;3;31
B08_P1,Kurt Kitayama,8,-0.216,0.456,0.133,-0.042,291.9,0.571,0.647,0.522,4.637,0.866,0.031,0.652,0.619,0.296,-0.289,-0.58,0.0564,0.1889,0.2112,9;30;36;15;36;3;19;38
B08_P2,Nicolai Hojgaard,8,0.312,-0.214,-0.287,-0.304,290.3,0.604,0.685,0.615,4.624,0.806,0.038,0.492,0.388,0.346,0.582,0.62,0.0695,0.0544,0.3038,46;10;21;15;44;25;31;11
B08_P3,Nicolas Echavarria,8,0.13,0.403,0.042,-0.34,311.5,0.575,0.733,0.634,4.585,0.874,0.029,0.676,0.712,-0.491,0.716,-0.745,0.0488,0.0665,0.2207,42;15;2;47;50;50;19;40
B08_P4,Jake Knapp,8,0.523,-0.003,-0.145,0.001,306.1,0.563,0.733,0.528,4.588,0.831,0.026,0.56,0.478,0.554,-0.534,-0.002,0.0131,0.1389,0.1405,48;35;25;22;1;33;9;3
B08_P5,Rasmus Hojgaard,8,0.437,0.367,0.042,-0.36,302.4,0.576,0.641,0.56,4.507,0.837,0.045,0.59,0.958,0.875,0.587,0.127,0.0692,0.0942,0.1662,12;1;28;49;45;3;54;44
B09_P1,Marco Penge,9,0.282,-0.01,-0.277,0.345,310.6,0.671,0.701,0.59,4.459,0.808,0.034,0.592,0.011,0.767,-0.781,-0.474,0.0478,0.0844,0.1257,28;32;45;2;6;29;16;49
B09_P2,Sami Valimaki,9,-0.263,-0.117,-0.277,0.353,304.5,0.547,0.702,0.648,4.462,0.854,0.023,0.649,-0.322,-0.17,-0.053,-0.724,0.0467,0.0495,0.2696,38;20;1;22;26;39;1;8
B09_P3,Harry Hall,9,0.256,0.365,-0.106,0.243,293.8,0.709,0.67,0.555,4.615,0.874,0.021,0.631,-0.376,0.61,0.214,0.541,0.051,0.0544,0.1551,9;30;32;22;29;30;1;27
B09_P4,Rasmus Neergaard-Petersen,9,-0.02,-0.209,0.224,0.263,289.4,0.547,0.63,0.618,4.488,0.832,0.043,0.546,0.012,0.323,0.094,-0.661,0.0268,0.1912,0.2176,29;41;46;9;23;7;21;33
B09_P5,Tom McKibbin,9,-0.094,-0.167,0.075,0.13,293.9,0.667,0.667,0.606,4.576,0.861,0.041,0.637,0.617,0.682,-0.575,0.299,0.0078,0.0885,0.1442,51;49;9;34;3;4;29;22
B10_P1,Keegan Bradley,10,-0.254,0.058,0.173,-0.24,302.9,0.638,0.693,0.619,4.65,0.884,0.037,0.482,0.134,-0.707,-0.677,-0.225,0.0473,0.0874,0.0972,10;32;11;13;44;14;26;36
B10_P2,Shane Lowry,10,0.292,-0.131,-0.101,-0.099,298.1,0.709,0.689,0.533,4.6,0.848,0.042,0.533,0.363,-0.46,-0.273,0.888,0.0392,0.0658,0.1862,40;14;47;10;35;46;40;1
B10_P3,Brian Harman,10,0.063,0.07,0.311,-0.213,289.6,0.653,0.616,0.625,4.507,0.815,0.037,0.525,0.373,0.411,0.587,-0.439,0.0048,0.0948,0.2525,37;29;26;24;11;20;38;29
B10_P4,Wyndham Clark,10,-0.119,0.019,0.147,0.287,298.3,0.647,0.705,0.57,4.599,0.885,0.025,0.421,-0.664,-0.77,-0.795,0.668,0.0567,0.0809,0.0704,29;33;49;52;31;12;33;15
B10_P5,Cameron Smith,10,0.306,0.233,0.197,-0.034,305.8,0.666,0.687,0.546,4.558,0.871,0.029,0.436,0.553,0.537,-0.723,0.869,0.0368,0.1046,0.0536,19;40;21;9;1;29;12;43
B11_P1,Patrick Cantlay,11,0.028,0.063,0.2,-0.026,308.3,0.646,0.695,0.549,4.563,0.836,0.043,0.377,-0.417,-0.004,0.718,-0.521,0.0131,0.1489,0.1966,35;16;31;32;18;39;31;18
B11_P2,Daniel Berger,11,-0.138,0.166,0.075,0.097,305.3,0.621,0.711,0.572,4.494,0.834,0.04,0.414,0.584,0.367,0.676,-0.701,0.0507,0.1211,0.1098,52;5;31;1;3;49;52;22
B11_P3,Jordan Spieth,11,-0.053,0.372,0.209,0.211,304.5,0.654,0.671,0.539,4.541,0.852,0.049,0.542,-0.758,-0.739,0.257,0.983,0.0033,0.1488,0.1382,19;43;43;26;35;10;45;54
B11_P4,Sungjae Im,11,-0.195,0.079,-0.233,0.058,289.3,0.567,0.678,0.638,4.5,0.86,0.027,0.427,0.476,0.904,-0.608,0.139,0.0237,0.0345,0.1747,37;30;27;41;46;49;54;12
B11_P5,Max Homa,11,-0.119,-0.024,0.291,-0.27,311.8,0.679,0.652,0.621,4.539,0.804,0.027,0.476,-0.057,0.527,-0.768,0.139,0.0446,0.1607,0.0838,14;52;27;7;29;16;27;42
B12_P1,Jacob Bridgeman,12,0.311,0.431,0.143,-0.103,304.4,0.643,0.707,0.594,4.55,0.826,0.036,0.414,-0.211,0.368,0.565,0.956,0.0418,0.1401,0.2305,42;30;47;14;4;10;40;31
B12_P2,Alexander Noren,12,-0.216,0.11,-0.164,0.233,306.5,0.656,0.731,0.606,4.531,0.826,0.029,0.379,0.897,0.327,0.124,-0.677,0.0255,0.1261,0.2029,32;9;3;14;50;50;9;45
B12_P3,Maverick McNealy,12,0.264,0.297,0.065,0.067,309.7,0.57,0.634,0.621,4.497,0.836,0.025,0.391,-0.788,0.887,0.164,0.457,0.02,0.0318,0.0532,13;33;2;45;44;6;16;3
B12_P4,Ryan Gerard,12,0.198,-0.014,-0.169,-0.227,317.8,0.609,0.612,0.525,4.472,0.829,0.022,0.375,0.654,0.794,0.954,0.338,0.03,0.077,0.1484,5;53;8;36;2;37;1;14
B12_P5,Sam Burns,12,-0.212,0.083,-0.028,-0.178,312.6,0.571,0.735,0.6,4.638,0.865,0.038,0.464,-0.544,-0.366,0.209,-0.701,0.0322,0.0945,0.1319,51;50;45;17;47;5;42;12
B13_P1,Aaron Rai,13,-0.137,-0.056,-0.12,-0.151,305.9,0.698,0.675,0.615,4.567,0.857,0.046,0.35,0.538,-0.266,0.717,0.892,0.0381,0.1066,0.05,52;11;45;9;28;28;1;20
B13_P2,Michael Kim,13,0.232,0.125,0.008,-0.207,300.3,0.668,0.614,0.625,4.609,0.801,0.041,0.393,-0.702,0.16,0.675,-0.099,0.0288,0.1219,0.1731,41;54;37;21;11;34;26;47
B13_P3,Sam Stevens,13,0.075,0.066,0.142,0.08,302.8,0.629,0.628,0.583,4.644,0.882,0.035,0.382,-0.416,0.425,0.835,-0.202,0.0278,0.0937,0.095,46;46;30;21;20;35;54;4
B13_P4,Kristoffer Reitan,13,-0.175,-0.048,-0.183,-0.093,303.0,0.646,0.619,0.607,4.498,0.807,0.039,0.363,-0.646,-0.692,-0.134,0.08,0.005,0.0471,0.1442,35;35;38;41;31;23;44;39
B13_P5,Michael Brennan,13,-0.112,-0.137,0.044,0.052,289.9,0.673,0.655,0.575,4.627,0.888,0.039,0.35,-0.775,-0.342,-0.652,0.932,0.0045,0.1213,0.2111,9;28;17;10;45;18;22;22
B13_P6,Andrew Novak,13,0.236,0.313,0.017,0.16,297.9,0.593,0.677,0.64,4.578,0.889,0.028,0.36,0.589,0.748,-0.253,-0.635,0.0136,0.1047,0.1223,23;38;19;39;25;44;27;42
B13_P7,Matthew McCarty,13,0.173,-0.06,0.215,-0.172,293.3,0.675,0.693,0.619,4.579,0.848,0.037,0.36,-0.165,-0.2,-0.26,-0.606,0.0279,0.0906,0.1048,24;7;45;30;46;51;3;42
B13_P8,Ryan Fox,13,0.253,0.315,-0.136,-0.221,312.6,0.603,0.631,0.52,4.581,0.838,0.045,0.415,-0.409,-0.123,0.97,0.788,0.0173,0.0277,0.2045,43;51;11;11;2;22;53;5
B13_P9,Gary Woodland,13,0.199,0.215,0.236,0.199,307.5,0.698,0.723,0.642,4.538,0.85,0.04,0.419,0.617,0.536,-0.491,-0.281,0.0376,0.1303,0.0664,19;9;43;52;14;6;34;3
B13_P10,Max Greyserman,13,-0.154,0.28,-0.141,-0.085,296.4,0.619,0.619,0.593,4.558,0.888,0.036,0.35,-0.569,0.289,0.301,-0.581,0.0277,0.0757,0.1248,39;27;17;4;13;15;10;18
B13_P11,John Keefer,13,0.15,0.31,0.081,-0.011,299.5,0.675,0.631,0.587,4.551,0.838,0.033,0.35,0.153,-0.542,-0.67,-0.204,0.0144,0.0518,0.0653,31;50;26;51;30;4;6;22
B13_P12,Nick Taylor,13,-0.002,0.164,0.019,-0.21,304.8,0.568,0.711,0.538,4.629,0.859,0.043,0.35,-0.128,-0.055,0.463,-0.608,0.0257,0.0526,0.1214,32;4;12;8;39;4;22;42
B13_P13,Casey Jarvis,13,0.043,-0.089,0.048,-0.108,288.5,0.589,0.661,0.578,4.486,0.836,0.037,0.397,0.541,-0.636,-0.293,0.72,0.0053,0.0414,0.1851,42;25;39;38;28;28;42;33
B13_P14,Aldrich Potgieter,13,0.203,-0.129,0.026,-0.123,301.2,0.649,0.642,0.563,4.562,0.85,0.039,0.397,-0.12,0.925,0.105,-0.645,0.0304,0.0792,0.1263,46;51;51;33;35;29;13;46
B13_P15,Hao-Tong Li,13,-0.188,0.107,0.126,0.069,302.2,0.557,0.705,0.568,4.483,0.879,0.032,0.434,0.425,0.993,-0.36,0.976,0.0306,0.1308,0.1013,1;29;22;53;31;24;54;34
B13_P16,Brian Campbell,13,-0.181,0.216,-0.12,-0.057,306.3,0.614,0.662,0.632,4.508,0.885,0.038,0.35,0.998,0.211,0.836,-0.46,0.0113,0.1211,0.2076,11;11;19;6;17;18;38;25
B13_P17,Davis Riley,13,0.102,0.087,-0.07,-0.021,300.7,0.644,0.73,0.565,4.599,0.805,0.045,0.389,0.505,0.811,0.622,-0.524,0.0036,0.1311,0.081,21;33;14;48;38;9;41;5
B13_P18,Carlos Ortiz,13,0.247,-0.046,-0.039,0.004,291.5,0.592,0.676,0.524,4.569,0.886,0.034,0.379,0.463,0.417,0.215,0.33,0.0126,0.083,0.186,52;37;23;17;25;4;44;16
B13_P19,Zach Johnson,13,0.173,-0.123,-0.143,-0.124,296.6,0.611,0.739,0.582,4.64,0.865,0.036,0.354,0.328,0.409,-0.109,0.133,0.0397,0.0443,0.1238,50;13;6;33;8;22;29;29
B13_P20,Ethan Fang,13,0.242,0.075,-0.097,-0.038,299.8,0.629,0.655,0.531,4.463,0.835,0.028,0.35,-0.507,-0.711,0.167,0.3,0.0032,0.0625,0.135,12;24;25;17;52;40;48;11
B13_P21,Fifa Laopakdee,13,-0.169,0.337,0.176,0.008,313.4,0.65,0.62,0.65,4.46,0.854,0.035,0.35,-0.588,-0.448,-0.164,-0.644,0.0393,0.064,0.1022,14;34;47;38;16;27;4;42
B13_P22,Angel Cabrera,13,0.054,0.068,0.24,0.237,311.2,0.619,0.705,0.531,4.636,0.805,0.033,0.354,0.796,0.882,-0.219,0.088,0.0086,0.1207,0.1366,13;31;10;32;37;35;45;53
B13_P23,Naoyuki Kataoka,13,0.124,0.369,0.088,-0.115,297.1,0.671,0.726,0.545,4.459,0.801,0.045,0.428,0.985,-0.504,-0.268,0.123,0.0117,0.0506,0.0648,14;35;9;27;21;36;30;21
B13_P24,Vijay Singh,13,-0.102,0.151,0.105,-0.06,309.7,0.604,0.725,0.566,4.511,0.808,0.029,0.424,-0.574,0.72,0.158,0.062,0.04,0.1025,0.1368,46;41;47;7;44;17;47;50
B13_P25,Jackson Herrington,13,-0.099,-0.047,0.02,-0.088,293.7,0.666,0.641,0.591,4.509,0.849,0.024,0.436,0.507,0.702,0.606,0.186,0.0367,0.0453,0.1606,42;43;12;5;4;22;6;25
B13_P26,Mason Howell,13,0.324,0.053,-0.012,0.154,290.0,0.672,0.613,0.537,4.451,0.878,0.038,0.392,-0.34,-0.191,-0.719,-0.459,0.0173,0.1114,0.066,7;35;22;50;51;43;2;26
B13_P27,Mateo Pulcini,13,0.006,0.181,0.138,-0.025,294.8,0.622,0.697,0.581,4.46,0.814,0.046,0.384,-0.137,0.118,-0.369,0.06,0.0171,0.0362,0.1594,32;44;33;15;47;43;13;4
B13_P28,Fred Couples,13,0.219,-0.116,-0.184,-0.027,311.0,0.602,0.647,0.531,4.59,0.879,0.032,0.367,-0.03,0.48,0.048,-0.407,0.0197,0.1228,0.2018,45;11;35;49;29;20;12;27
B13_P29,Jose Maria Olazabal,13,0.147,0.071,0.234,0.012,294.8,0.555,0.707,0.646,4.644,0.802,0.037,0.35,0.88,-0.133,-0.419,0.478,0.0422,0.1134,0.0862,47;36;53;30;30;13;11;31
